SubAreaId,timestamp,airTemperature,surfaceTemperature,waterThickness,friction
403,11/3/2016 10:00,0.887804878,2.457707317,0.121834146,0.706390244
205,11/3/2016 10:00,2.568696093,3.510172501,0.336723491,0.673272451
205,11/4/2016 0:00,1.957934132,2.873577844,0.460651198,0.682844311
405,11/3/2016 10:00,0.82248062,2.579922481,0.161131783,0.704108527
504,11/3/2016 10:00,0.863613232,2.627099237,0.150977099,0.705419847
505,11/3/2016 10:00,0.945849802,1.913596838,0.207027668,0.508695652
506,11/3/2016 10:00,0.94835443,1.929696203,0.240189873,0.637113924
202,11/4/2016 0:00,0.86631016,2.492032086,0.213989305,0.692459893
203,11/4/2016 0:00,1.417670683,2.343634538,0.174232932,0.590903614
204,11/4/2016 0:00,1.176592083,3.026540448,0.197550775,0.680516351
402,11/4/2016 0:00,1.520754717,2.56990566,0.179839623,0.695566038
501,11/4/2016 0:00,1.5,2.877093023,0.17455814,0.674302326
205,11/4/2016 0:00,1.7,3.086634615,0.227490385,0.694615385
502,11/4/2016 0:00,1.5,3.115822785,0.320367089,0.668607595
503,11/4/2016 0:00,1.5,2.802244898,0.222367347,0.66
405,11/4/2016 0:00,1.589473684,2.876447368,0.271276316,0.665
801,11/4/2016 0:00,1.405714286,2.327857143,0.05697619,0.714142857
506,11/4/2016 0:00,1.5,2.615248227,0.08993617,0.69893617
501,11/4/2016 6:00,-0.1,1.283770492,0.099967213,0.705081967
402,11/4/2016 6:00,-0.2,1.220718563,0.129275449,0.686706587
502,11/4/2016 6:00,-0.2,1.341807229,0.204722892,0.68686747
205,11/4/2016 6:00,-0.585045514,1.047711313,0.229997399,0.272418726
205,11/4/2016 8:00,-1.880847029,0.44977244,0.087160556,0.350802781
503,11/4/2016 6:00,-0.15862069,1.252413793,0.220827586,0.681551724
801,11/4/2016 6:00,0.094444444,1.13837963,0.093287037,0.714027778
405,11/4/2016 6:00,-0.2,1.304230769,0.172897436,0.688205128
506,11/4/2016 6:00,-0.051552795,1.108198758,0.092024845,0.708819876
101,11/4/2016 6:00,-0.209815355,3.334655005,0.093305151,0.711039845
101,11/4/2016 8:00,-0.087121212,1.474318182,0.100765152,0.701136364
301,11/4/2016 6:00,-0.725628141,1.203266332,0.140180905,0.619346734
202,11/4/2016 8:00,0.943975904,2.178012048,0.122900602,0.701385542
203,11/4/2016 6:00,-1.030735931,1.116060606,0.101770563,0.700995671
203,11/4/2016 8:00,0.890548204,2.000056711,0.12120983,0.697674858
302,11/4/2016 6:00,-0.81745283,1.084622642,0.183580189,0.695235849
104,11/4/2016 8:00,0.664606742,2.336075441,0.205512841,0.538443018
402,11/4/2016 6:00,-1.3,1.046153846,0.088692308,0.706153846
402,11/4/2016 8:00,1.2,1.928888889,0.067444444,0.71
205,11/4/2016 6:00,-2.11266825,0.574410135,0.273090657,0.285815519
205,11/4/2016 8:00,0.997388466,2.032752992,0.156471164,0.542415669
304,11/4/2016 6:00,-0.733698031,0.880218818,0.140008753,0.684857768
104,11/4/2016 8:00,-0.448842593,3.361157407,0.174405093,0.613842593
203,11/4/2016 8:00,1.023432343,2.421584158,0.136861386,0.70359736
203,11/4/2016 10:00,1.223076923,3.212067308,0.197956731,0.693317308
303,11/4/2016 8:00,0.580995475,2.15479638,0.200167421,0.547420814
402,11/4/2016 8:00,1.082608696,2.386521739,0.080304348,0.716956522
402,11/4/2016 10:00,1.260487805,3.413658537,0.130443902,0.703170732
304,11/4/2016 8:00,0.598835275,2.116905158,0.177302829,0.677554077
205,11/4/2016 8:00,5.745892116,8.2806639,0.366353527,0.612340249
205,11/4/2016 10:00,0.758882682,2.350567598,0.363715084,0.539459218
403,11/4/2016 10:00,1.259405941,3.409207921,0.074475248,0.710346535
405,11/4/2016 10:00,1.209803922,3.409705882,0.099470588,0.708431373
504,11/4/2016 10:00,1.266883117,3.011314935,0.185344156,0.696899351
203,11/5/2016 0:00,0.685185185,3.008703704,0.119074074,0.706481481
401,11/5/2016 0:00,0.806666667,2.480790123,0.083554321,0.417123457
402,11/5/2016 0:00,0.910550459,3.299587156,0.153525229,0.703256881
205,11/5/2016 0:00,1.489583333,3.244725379,0.172624053,0.53342803
504,11/5/2016 0:00,0.847118644,3.504881356,0.094847458,0.702372881
202,11/5/2016 2:00,0.839148936,2.864212766,0.099017021,0.705659574
203,11/5/2016 2:00,1.321821632,2.718804554,0.069811195,0.482836812
203,11/5/2016 4:00,1.112260536,2.276111111,0.256084291,0.405823755
402,11/5/2016 2:00,1.341818182,3.637909091,0.039127273,0.741454545
204,11/5/2016 2:00,1.422153846,3.097169231,0.16288,0.703138462
204,11/5/2016 4:00,1.469086022,2.283239247,0.10943414,0.706787634
403,11/5/2016 2:00,0.753465347,3.383564356,0.027752475,0.737722772
504,11/5/2016 2:00,0.182539683,2.77015873,0.063222222,0.712698413
405,11/5/2016 2:00,1.05,3.4125,0.041729167,0.7375
203,11/5/2016 4:00,0.151959361,1.293846154,0.186551524,0.597764877
205,11/5/2016 4:00,-0.03919598,1.246959799,0.153788945,0.541130653
101,11/5/2016 6:00,0.99189781,1.748671533,0.203259124,0.598306569
202,11/5/2016 4:00,0.489719626,1.496168224,0.110205607,0.703738318
202,11/5/2016 6:00,0.635955056,1.808426966,0.101292135,0.702921348
301,11/5/2016 6:00,1.139946381,0.961286863,0.090713137,0.652466488
203,11/5/2016 4:00,0.271698113,0.821603774,0.093245283,0.703773585
203,11/5/2016 6:00,-1.149886364,-0.087352273,0.108526136,0.702375
104,11/5/2016 6:00,0.887774648,2.033633803,0.157402817,0.624687324
302,11/5/2016 6:00,1.148387097,1.13172043,0.121010753,0.670645161
401,11/5/2016 6:00,1.075229358,0.047431193,0.140036697,0.685229358
402,11/5/2016 4:00,0.277966102,0.492457627,0.064847458,0.547372881
402,11/5/2016 6:00,0.666666667,-0.418888889,0.094444444,0.704722222
204,11/5/2016 6:00,-1.606048387,-0.053830645,0.093883065,0.600403226
205,11/5/2016 4:00,0.487373737,0.790808081,0.14470202,0.491237374
205,11/5/2016 6:00,-1.039538462,-0.234892308,0.112195385,0.413753846
205,11/5/2016 8:00,-1.665917603,0.362734082,0.266629213,0.317153558
304,11/5/2016 6:00,1.149586777,0.512768595,0.09177686,0.677644628
202,11/5/2016 8:00,0.210964083,-1.826389414,0.306661626,0.364045369
202,11/5/2016 10:00,-2.024425784,-0.921797975,0.215950605,0.372531489
203,11/5/2016 8:00,8.878465347,0.788688119,0.094294554,0.53470297
203,11/5/2016 10:00,-2.027346278,-1.182502697,0.189874326,0.43929342
205,11/5/2016 8:00,18.22173913,6.382826087,0.124478261,0.356304348
101,11/5/2016 0:00,-1.606832298,0.128343685,0.134865424,0.593416149
202,11/5/2016 0:00,-2.9,-2.005,0.025,0.433333333
202,11/5/2016 10:00,-3.252189781,-1.768649635,0.156751825,0.497664234
301,11/5/2016 0:00,-1.756987296,0.03876588,0.102361162,0.686515426
301,11/5/2016 2:00,-1.333703704,0.487259259,0.245311111,0.35162963
203,11/5/2016 0:00,-2.845970149,-1.29780597,0.090470149,0.340044776
203,11/5/2016 10:00,-3.051898734,-2.237974684,0.125898734,0.648860759
